question,label
What are the prerequisites for applying to a top-tier medical school?,What
What is the most energy-efficient way to heat a residential home?,What
What are the long-term consequences of chronic sleep deprivation?,What
"What is the difference between a hurricane, a typhoon, and a cyclone?",What
What exactly is a black swan event in the context of financial markets?,What
What are the primary colors of light in the additive color model?,What
What is the recommended procedure for onboarding a new remote employee?,What
What are the fundamental rights guaranteed by the First Amendment?,What
What is the process for obtaining a patent for a new invention?,What
What are the primary causes of deforestation in the Amazon basin?,What
What is the difference between a stock's market value and its intrinsic value?,What
What are the key themes explored in George Orwell's novel 1984?,What
What is the function of the mitochondria within a biological cell?,What
What are the criteria for a planet to be considered in the habitable zone?,What
What is the most common cause of data breaches in corporate networks?,What
What are the physiological effects of adrenaline on the human body?,What
"What is the difference between a virus, a Trojan, and a worm in computer security?",What
What are the major milestones in the development of the English language?,What
What is the standard operating procedure for a code blue in a hospital?,What
What are the essential elements of a legally binding contract?,What
What is the process of nuclear fusion that powers the sun?,What
What are the most popular tourist destinations in Southeast Asia?,What
What is the difference between an outright purchase and a lease agreement?,What
What are the primary sources of renewable energy currently in use?,What
What is the significance of the Magna Carta in the development of constitutional law?,What
What are the main challenges associated with manned missions to Mars?,What
What is the most effective strategy for mitigating implicit bias in the workplace?,What
"Regarding the recent data breach, who exactly is legally liable for the exposed customer information?",Who
To whom should I address this formal letter of complaint regarding my utility bill?,Who
Who was the primary architect responsible for the design of the Guggenheim Museum?,Who
"Of all the candidates we interviewed yesterday, who possesses the strongest technical background?",Who
"Who, in the grand scheme of things, actually benefits from this new tax loophole?",Who
Who was the dissenting Supreme Court justice in that landmark 1973 ruling?,Who
For whom did Beethoven compose his famous Moonlight Sonata?,Who
Who is currently leading the pack in the polls for the upcoming mayoral election?,Who
Who is the designated point of contact for emergency IT support on weekends?,Who
Who exactly gave the authorization to bypass the standard security protocols?,Who
"According to historical records, who was the true inventor of the radio?",Who
Who is the mysterious author writing under the pseudonym Robert Galbraith?,Who
"Among the founding fathers, who was the most vocal opponent of a strong central government?",Who
Who handles the payroll disputes in the human resources department?,Who
Who was the first civilian to ever travel into outer space?,Who
Who is the intended audience for this highly technical white paper?,Who
Who ultimately holds the copyright to a song generated by artificial intelligence?,Who
Who was the commanding general of the Allied forces during the D-Day invasion?,Who
Who is the current reigning champion of the heavyweight boxing division?,Who
Who played the pivotal role of the whistleblower in the Enron scandal?,Who
Who is responsible for maintaining the landscaping in this residential community?,Who
Who was the female scientist whose X-ray diffraction images led to the discovery of the DNA double helix?,Who
Who stands to inherit the estate if no formal will was ever drafted?,Who
Who is the lead singer of the alternative rock band that performed at the halftime show?,Who
Who has the administrative privileges required to reset the server passwords?,Who
Who was the longest-serving monarch in British history?,Who
Who is the primary antagonist in the Lord of the Rings trilogy?,Who
Who actually reads all those lengthy terms and conditions before clicking agree?,Who
Who was the first African American player in Major League Baseball?,Who
Who is the most cited researcher in the field of quantum computing?,Who
Who do I need to speak with to upgrade my current subscription plan?,Who
"Who was the influential philosopher who coined the phrase 'I think, therefore I am'?",Who
Who is the target demographic for this new line of luxury electric vehicles?,Who
Who holds the world record for the highest altitude freefall jump?,Who
Who was the visionary director behind the visually stunning film Blade Runner?,Who
Who is the chief medical officer at the regional hospital?,Who
Who originally formulated the three laws of thermodynamics?,Who
Who was the brilliant mathematician portrayed in the movie A Beautiful Mind?,Who
Who has the final say on the approval of the annual corporate budget?,Who
Who is the most decorated Olympian of all time?,Who
Who was the notorious pirate known as Blackbeard?,Who
Who is the independent auditor reviewing the company's financial statements?,Who
Who wrote the iconic American novel To Kill a Mockingbird?,Who
Who is the current Secretary General of the United Nations?,Who
Who was the first woman to be appointed to the United States Supreme Court?,Who
Who handles the logistics and supply chain management for this division?,Who
Who was the fierce warrior queen who led a rebellion against the Roman Empire?,Who
Who is the visionary entrepreneur behind the SpaceX program?,Who
Who is the main suspect in the ongoing investigation of the art heist?,Who
Who originally composed the musical score for the Star Wars franchise?,Who
Who was the controversial figure at the center of the Watergate scandal?,Who
Who is the highest-paid actor in Hollywood this year?,Who
Who has the authority to declare a state of emergency in this county?,Who
Who was the famous post-impressionist painter known for Starry Night?,Who
Who is the defending champion of the Wimbledon men's singles tournament?,Who
Who do you consider to be the greatest jazz musician of the 20th century?,Who
Who was the influential civil rights leader assassinated in Memphis in 1968?,Who
Who is the project manager overseeing the implementation of the new software?,Who
Who holds the patent for the original design of the modern safety pin?,Who
Who was the eccentric genius who famously lived in the Waldorf Astoria?,Who
Who is the head coach of the national women's soccer team?,Who
Who originally sang the hit song 'Respect' before Aretha Franklin made it famous?,Who
Who was the first Roman Emperor to convert to Christianity?,Who
Who is the primary beneficiary named on this life insurance policy?,Who
Who wrote the classic dystopian novel Brave New World?,Who
Who is the current host of the long-running television game show Jeopardy?,Who
Who was the legendary king of the Franks who united much of Western Europe?,Who
Who handles the press relations and public statements for the governor?,Who
Who was the influential nurse who founded modern nursing during the Crimean War?,Who
Who is the lead developer responsible for the backend architecture of the app?,Who
Who originally discovered the continent of Antarctica?,Who
Who was the prominent abolitionist who escaped slavery and became a renowned orator?,Who
Who is the majority shareholder of this publicly traded corporation?,Who
Who wrote the famous series of fantasy novels featuring the land of Narnia?,Who
Who is the current Chief Justice of the Supreme Court?,Who
Who was the revolutionary leader who overthrew the Cuban government in 1959?,Who
Who handles the day-to-day operations of the retail storefront?,Who
Who was the pioneering computer scientist who developed the first compiler?,Who
Who is the most followed individual on the social media platform Instagram?,Who
Who originally proposed the heliocentric model of the solar system?,Who
Who was the iconic martial artist who starred in Enter the Dragon?,Who
Who is the designated safety officer for this construction site?,Who
Who wrote the influential economic treatise The Wealth of Nations?,Who
Who is the current poet laureate of the United States?,Who
Who was the famed aviator who disappeared over the Pacific Ocean in 1937?,Who
Who handles the international shipping and customs documentation?,Who
Who was the legendary Greek hero known for his strength and the twelve labors?,Who
Who is the primary investor funding this new biotechnology startup?,Who
Who wrote the beloved children's book Charlotte's Web?,Who
Who is the current chancellor of Germany?,Who
Who was the notorious gangster who ruled the Chicago underworld during Prohibition?,Who
Who handles the intake and triage at the emergency veterinary clinic?,Who
Who was the influential psychologist who developed the theory of operant conditioning?,Who
Who is the lead singer of the legendary rock band The Rolling Stones?,Who
Who originally discovered the tomb of the Egyptian pharaoh Tutankhamun?,Who
Who was the pioneering aviator who became the first woman to break the sound barrier?,Who
Who is the legal guardian of the minor child in question?,Who
Who wrote the epic poem The Divine Comedy?,Who
Who is the current CEO of the multinational conglomerate Amazon?,Who
Who was the famous American frontiersman who died at the Battle of the Alamo?,Who
At what precise time does the network maintenance window begin tonight?,When
By what date must the quarterly tax estimates be postmarked to avoid penalties?,When
"Under what circumstances, or exactly when, is it acceptable to override the fail-safe mechanism?",When
When exactly did the shift from agricultural societies to industrial ones occur in Europe?,When
"Assuming there are no further delays, when will the final beta build be pushed to production?",When
When is the absolute latest I can check out of the hotel without incurring an extra fee?,When
In what year did the dot-com bubble officially burst?,When
"When dealing with a compound fracture, at what point should a tourniquet be applied?",When
When was the exact moment you realized the data had been compromised?,When
During which geological epoch did the dinosaurs first appear?,When
When is the most optimal time of year to prune a Japanese maple tree?,When
By what time do I need to arrive at the airport for an international flight?,When
When did the tradition of giving diamond engagement rings actually begin?,When
At what specific temperature does the structural integrity of this steel begin to fail?,When
When does the statute of limitations expire on a breach of contract claim?,When
In what century was the printing press introduced to Europe?,When
When is the vernal equinox this year?,When
When exactly did the term 'artificial intelligence' first enter the academic lexicon?,When
By what deadline must the grant proposal be submitted to the committee?,When
When does the transition from daylight saving time to standard time occur?,When
In what specific year was the Berlin Wall finally dismantled?,When
When is the best time to execute a large stock trade to minimize market impact?,When
When did the concept of a five-day workweek become the standard in the United States?,When
At what exact altitude does the atmosphere transition into outer space?,When
When was the first successful cloning of a mammal achieved?,When
When does the probationary period for new employees typically end?,When
In which decade did color television become widely available to the public?,When
When is it legally permissible to use deadly force in self-defense?,When
When exactly did the Roman Empire split into the Eastern and Western empires?,When
By what date are W-2 forms required to be mailed to employees?,When
When does the human brain fully finish developing the prefrontal cortex?,When
In what year did the United States officially land the Mars rover Curiosity?,When
When is the peak season for booking flights to the Caribbean?,When
When did the devastating Spanish Flu pandemic finally subside?,When
At what age is a person eligible to begin withdrawing from a 401(k) without penalty?,When
When was the original formulation of Coca-Cola first introduced to the market?,When
When does the moon's gravitational pull have the strongest effect on the tides?,When
In what year was the first text message successfully transmitted?,When
When is the deadline to register to vote in the upcoming midterm elections?,When
When exactly did the Titanic strike the iceberg?,When
By what time must the daily settlement reports be reconciled by the accounting department?,When
When did the Renaissance period officially transition into the Baroque period?,When
When is it considered scientifically safe to look directly at a solar eclipse?,When
In what year was the landmark civil rights legislation passed in the United States?,When
When does the warranty on this electronic device officially expire?,When
When was the very first episode of the television show Doctor Who broadcast?,When
At what specific point in the roasting process do coffee beans crack for the first time?,When
When did the use of the Julian calendar officially end in favor of the Gregorian calendar?,When
When is the earliest recorded use of cryptography in history?,When
In what year did the Chernobyl nuclear disaster occur?,When
When does a juvenile record typically get expunged in this jurisdiction?,When
When was the first commercially successful video game released?,When
When exactly do the cicadas emerge after their 17-year underground cycle?,When
By what date must the landlord provide notice before entering the rental property?,When
When did the practice of embalming originate in ancient Egypt?,When
At what age do most children begin to develop object permanence?,When
When was the first successful human heart transplant performed?,When
When does the active hurricane season officially begin in the Atlantic basin?,When
In what year did the Prohibition era begin in the United States?,When
When is the most strategic time to launch a new consumer product?,When
When did the Great Depression officially reach its lowest economic point?,When
When is the customary time to send out wedding invitations?,When
When exactly was the North American Free Trade Agreement signed?,When
At what precise moment does a caterpillar begin its metamorphosis into a butterfly?,When
"When was the first artificial satellite, Sputnik, launched into orbit?",When
When does the new fiscal year begin for the federal government?,When
In what year did the widespread adoption of the internet begin?,When
When is the appropriate time to follow up after a final round job interview?,When
When did the devastating earthquake strike San Francisco in the early 20th century?,When
When exactly was the first modern draft of the periodic table published?,When
By what date do international students need to secure their visas?,When
When did the use of penicillin become widespread in medical practice?,When
At what point during the flight does the aircraft begin its initial descent?,When
When was the first successful summit of Mount Everest achieved?,When
When does the copyright on a published book typically enter the public domain?,When
In what year was the first atomic bomb tested in the New Mexico desert?,When
When is the best time of day to water a vegetable garden to prevent mildew?,When
When did the apartheid system officially come to an end in South Africa?,When
When exactly did the stock market crash on Black Tuesday?,When
By what deadline must a defendant file a response to a civil lawsuit?,When
When did the modern environmental movement gain mainstream traction?,When
At what specific stage of sleep does rapid eye movement (REM) occur?,When
When was the first widespread use of the telegraph for communication?,When
When does the monsoon season typically arrive in the Indian subcontinent?,When
In what year was the European Union formally established?,When
When is the recommended timeframe for replacing running shoes?,When
"When did the devastating bubonic plague, or Black Death, peak in Europe?",When
When exactly was the first working laser demonstrated?,When
By what date must a company hold its annual general meeting?,When
When did the construction of the Panama Canal finally conclude?,When
At what point in the brewing process is the yeast added to the wort?,When
When was the first successful flight of the Concorde supersonic jet?,When
When does a patent typically expire after being granted by the USPTO?,When
In what year did the Rwandan genocide take place?,When
When is the most effective time to apply a pre-emergent herbicide to a lawn?,When
When did the widespread use of the barcode begin in retail?,When
When exactly did the Apollo 13 mission experience its critical oxygen tank failure?,When
By what deadline must the environmental impact study be finalized?,When
When did the construction of the transcontinental railroad finish?,When
At what specific temperature does the chemical reaction become exothermic?,When
In what specific geographic region did the ancient Sumerian civilization flourish?,Where
Exactly where on the motherboard do I connect the front panel audio cables?,Where
"Where, given the current zoning laws, is it legal to construct a multi-family dwelling?",Where
Where did you ultimately end up finding those missing financial ledger documents?,Where
In which obscure corner of the internet did you manage to track down that vintage software?,Where
Where is the precise epicenter of the earthquake that struck the coast last night?,Where
Where do the majority of the world's deep-sea hydrothermal vents exist?,Where
Where are we currently standing in terms of the project's overall completion timeline?,Where
Where exactly is the line drawn between freedom of speech and unprotected hate speech?,Where
In what specific folder on the shared drive are the high-resolution logo files located?,Where
Where did the architectural style known as Brutalism originally originate?,Where
Where is the safest place to take shelter during an active tornado warning?,Where
Where on the body is the ulnar nerve located?,Where
Where are the headquarters of the International Criminal Court situated?,Where
Where exactly does the jurisdiction of the local police end and state police begin?,Where
In which specific hemisphere are the constellation of the Southern Cross visible?,Where
Where did the tradition of the Olympic torch relay originate?,Where
Where is the deepest known point in the Earth's oceans located?,Where
Where do the monarch butterflies migrate to during the harsh winter months?,Where
Where exactly on the engine block is the vehicle identification number stamped?,Where
Where are the most significant deposits of rare earth metals found globally?,Where
Where did the philosophical movement known as existentialism first gain prominence?,Where
Where is the optimal location to place a Wi-Fi router for maximum home coverage?,Where
Where on the political spectrum does this specific policy proposal fall?,Where
In which specific country is the ancient archaeological site of Machu Picchu located?,Where
Where did the infamous hacker group Anonymous first organize their activities?,Where
Where is the precise boundary between the Earth's atmosphere and outer space?,Where
Where do the local ordinances permit the operation of food trucks?,Where
Where exactly is the thyroid gland located within the human body?,Where
Where are the world's most active stratovolcanoes concentrated?,Where
Where did the culinary technique of sous-vide cooking first develop?,Where
Where is the safest place to store highly sensitive physical documents?,Where
Where on the spectrum of electromagnetic radiation does visible light fall?,Where
Where are the servers hosting this massive cloud computing infrastructure physically located?,Where
In which specific museum is the original painting of The Starry Night housed?,Where
Where did the massive asteroid that wiped out the dinosaurs actually impact the Earth?,Where
Where is the true geographical center of the contiguous United States?,Where
Where do the most complex calculations take place within a quantum computer?,Where
Where exactly is the fault line responsible for the San Andreas earthquakes?,Where
Where are the primary manufacturing facilities for this specific brand of microchips?,Where
Where did the artistic movement known as surrealism primarily take root?,Where
Where is the most remote human settlement on the planet located?,Where
Where on the human genome is the gene responsible for blue eyes located?,Where
Where are the international waters legally defined as beginning?,Where
In which specific ocean trench is the Challenger Deep located?,Where
Where did the deadly outbreak of the Ebola virus originate?,Where
Where is the most heavily fortified border in the world today?,Where
Where do the majority of the world's uncontacted indigenous tribes live?,Where
Where exactly is the blind spot located in the human eye?,Where
Where are the largest known reserves of fresh water on Earth?,Where
Where did the musical genre of jazz primarily evolve?,Where
Where is the most strategically important naval choke point in the Middle East?,Where
Where on the geological timeline does the Cambrian explosion occur?,Where
Where are the physical gold reserves of the United States government stored?,Where
In which specific city did the assassination of Archduke Franz Ferdinand occur?,Where
Where did the practice of acupuncture first originate?,Where
Where is the largest particle physics laboratory in the world located?,Where
Where do the trade winds typically converge near the equator?,Where
Where exactly is the meniscus located in the human knee?,Where
Where are the most extensive coral reef systems found outside of Australia?,Where
Where did the literary movement known as the Beat Generation flourish?,Where
Where is the highest elevated capital city in the world?,Where
Where on the phylogenetic tree do humans diverge from chimpanzees?,Where
Where are the primary data centers for the global financial trading networks?,Where
In which specific state is the Yellowstone supervolcano located?,Where
Where did the first successful test of an atomic weapon take place?,Where
Where is the most densely populated city in the world currently?,Where
Where do the heavy elements like gold and platinum originate in the universe?,Where
Where exactly is the amygdala located within the brain structure?,Where
Where are the most significant archaeological discoveries of Neanderthal remains?,Where
Where did the architectural design of the modern skyscraper first emerge?,Where
